11430,9,9,12,11,9,11,,183,182,182,182,183,183,,182.4,,0.328947368
10032,299,479,602,861,943,675,,81,74,63,68,58,69,,68.8,,0.290697674
10033,311,472,507,799,629,591,,78,75,80,77,89,80,,79.8,,0.250626566
10044,21,13,18,33,63,42,,178,181,181,181,177,180,,179.6,,0.222717149
10003,2572,4650,5570,7703,6589,5301,,1,1,1,1,1,1,,1,,0
10011,2096,3772,4588,6186,5224,4520,,2,2,2,2,2,2,,2,,0
10013,1759,3022,3400,4446,3856,3108,,3,3,3,3,3,3,,3,,0
11695,0,0,0,0,0,0,,187,186,189,189,190,188,,188.2,,-0.106269926
11436,92,112,104,224,160,153,,164,167,170,160,165,165,,165.2,,-0.121065375
10037,76,118,141,244,165,161,,165,165,162,157,163,162,,162.4,,-0.246305419
10048,3,3,4,2,1,4,,185,184,188,184,187,185,,185.6,,-0.323275862
11109,11,0,5,2,1,9,,182,186,187,184,187,184,,185.2,,-0.647948164
11241,0,5,6,11,25,19,,187,183,185,182,182,182,,183.8,,-0.979325354
11204,314,587,591,914,852,692,,76,55,68,63,67,65,,65.8,,-1.215805471
10282,39,71,80,74,26,68,,172,174,173,176,181,173,,175.2,,-1.255707763
11412,101,157,161,282,250,215,,160,157,157,152,154,154,,156,,-1.282051282
11379,210,278,275,445,724,411,,112,125,135,126,80,114,,115.6,,-1.384083045
10278,0,0,0,0,0,4,,187,186,189,189,190,185,,188.2,,-1.70031881
10474,107,126,135,255,139,189,,158,164,164,155,169,159,,162,,-1.851851852
10128,548,925,1177,1714,1439,1339,,30,27,25,23,28,26,,26.6,,-2.255639098
11101,520,732,909,1459,1310,1049,,32,39,36,30,32,33,,33.8,,-2.366863905
10024,717,1066,1489,1804,1747,1603,,19,23,20,21,20,20,,20.6,,-2.912621359
10069,26,55,60,67,58,72,,177,177,177,178,179,172,,177.6,,-3.153153153
10468,218,253,367,623,646,470,,107,131,111,101,87,104,,107.4,,-3.165735568
11236,143,320,376,384,471,385,,142,113,109,134,122,120,,124,,-3.225806452
10305,194,310,404,583,714,479,,121,114,104,110,81,102,,106,,-3.773584906
11040,16,35,69,68,59,74,,179,180,176,177,178,171,,178,,-3.93258427
11219,433,715,789,1143,1030,897,,45,40,43,48,48,43,,44.8,,-4.017857143
10460,163,253,338,506,547,396,,131,131,119,122,108,117,,122.2,,-4.255319149
11249,27,53,42,49,81,82,,176,178,180,180,175,170,,177.8,,-4.386951631
